hanja,meaning,reading,source
佳,아름다울,가,material
街,거리,가,material
假,거짓,가,material;textbook
暇,틈,가,material
價(价),값,가,material;textbook
可,옳을,가,material;textbook
歌,노래,가,material;textbook
加,더할,가,material;textbook
架,시렁,가,material
家,집,가,material;textbook
各,각각,각,material;textbook
閣(阁),집,각,material
卻(却),물리칠,각,material
腳(脚),다리,각,material
角,뿔,각,material
覺(觉),깨달을,각,material
刻,새길,각,material;textbook
看,볼,간,material;textbook
間(间),사이,간,material;textbook
簡(简),대쪽,간,material
幹(干),방패,간,material;textbook
刊,새길,간,material
肝,간,간,material
姦(奸),간사할,간,material
懇(恳),정성,간,material
渴,목마를,갈,material
甘,달,감,material;textbook
感,느낄,감,material;textbook
減(减),덜,감,material
敢,감히,감,material
監(监),볼,감,material
鑑(鉴),거울,감,material
甲,갑옷,갑,material;textbook
江,강,강,material;textbook
強(强),강할,강,material;textbook
剛(刚),굳셀,강,material
綱(纲),벼리,강,material
鋼(钢),강철,강,material
康,편안할,강,material;textbook
講(讲),욀,강,material
降,내릴,강,material;textbook
改,고칠,개,material
個(个),낱,개,material;textbook
皆,다,개,material
介,낄,개,material;textbook
開(开),열,개,material;textbook
慨,슬퍼할,개,material
槪,대개,개,material
蓋(盖),덮을,개,material
客,손,객,material
更,다시,갱,material;textbook
去,갈,거,material;textbook
車(车),수레,거,material;textbook
居,살,거,material
巨,클,거,material
拒,막을,거,material
距,떨어질,거,material
擧,들,거,material
據(据),근거,거,material
件,사건,건,material
乾(干),하늘,건,material
建,세울,건,material
健,굳셀,건,material;textbook
乞,빌,걸,material
傑(杰),뛰어날,걸,material;textbook
儉(俭),검소할,검,material
檢(检),검사할,검,material
劍(剑),칼,검,material
格,격식,격,material
激,격할,격,material
擊(击),칠,격,material
隔,사이뜰,격,material
犬,개,견,material
見(见),볼,견,material;textbook
堅(坚),굳을,견,material
絹(绢),비단,견,material
肩,어깨,견,material
牽(牵),이끌,견,material
遣,보낼,견,material
結(结),맺을,결,material;textbook
潔(洁),깨끗할,결,material
決(决),터질,결,material
缺,이지러질,결,material
兼,겸할,겸,material
謙(谦),겸손할,겸,material
京,서울,경,material
景,볕,경,material
輕(轻),가벼울,경,material
經(经),글,경,material;textbook
徑(径),지름길,경,material
敬,공경,경,material
警,깨우칠,경,material
驚(惊),놀랄,경,material
竟,마침내,경,material
境,지경,경,material
鏡(镜),거울,경,material
競(竞),다툴,경,material
頃(顷),이랑,경,material
傾(倾),기울,경,material;textbook
耕,밭갈,경,material;textbook
庚,천간,경,material;textbook
慶(庆),경사,경,material
硬,굳을,경,material;textbook
卿,벼슬,경,material
計(计),셀,계,material;textbook
界,지경,계,material
系,이을,계,material;textbook
係(系),이을,계,material
繼(继),이을,계,material
繫(系),맬,계,material
溪,시내,계,material
鷄(鸡),닭,계,material
戒,경계할,계,material
械,기계,계,material
桂,계수나무,계,material
契,맺을,계,material
季,끝,계,material;textbook
階(阶),섬돌,계,material
癸,천간,계,material;textbook
啓(启),열,계,material
古,예,고,material;textbook
苦,쓸,고,material;textbook
固,굳을,고,material
故,연고,고,material;textbook
姑,시어미,고,material
枯,오랠,고,material
告,알릴,고,material;textbook
高,높을,고,material;textbook
稿,원고,고,material
鼓,북,고,material
庫(库),곳집,고,material
顧(顾),돌아볼,고,material
孤,외로울,고,material
考,생각할,고,material;textbook
曲,굽을,곡,material
谷,골,곡,material;textbook
哭,울,곡,material
穀(谷),곡식,곡,material
困,곤할,곤,material
坤,땅,곤,material
骨,뼈,골,material;textbook
工,장인,공,material;textbook
功,공,공,material;textbook
空,빌,공,material
攻,칠,공,material;textbook
恐,두려울,공,material
貢(贡),바칠,공,material
共,한가지,공,material
供,이바지할,공,material
恭,공손할,공,material;textbook
公,공평할,공,material;textbook
孔,구멍,공,material
果,실과,과,material;textbook
課(课),과정,과,material;textbook
科,과목,과,material;textbook
過(过),지날,과,material;textbook
誇(夸),자랑할,과,material
寡,적을,과,material
郭,성곽,곽,material
官,벼슬,관,material;textbook
管,대롱,관,material
館(馆),집,관,material
貫(贯),꿸,관,material
慣(惯),익숙할,관,material
寬(宽),너그러울,관,material
冠,갓,관,material
觀(观),볼,관,material;textbook
關(关),빗장,광,material;textbook
光,빛,광,material;textbook
狂,미칠,광,material;textbook
廣(广),넓을,광,material;textbook
鑛,쇳돌,광,material
掛(挂),걸,괘,material
塊(块),흙덩이,괴,material
愧,부끄러울,괴,material
壞(坏),무너질,괴,material
怪,기이할,괴,material
橋(桥),다리,교,material
矯(矫),바로잡을,교,material
交,사귈,교,material
校,학교,교,material;textbook
較(较),견줄,교,material;textbook
郊,들,교,material
敎(教),가르칠,교,material
巧,교묘할,교,material
口,입,구,material;textbook
句,글귀,구,material
拘,잡을,구,material
狗,개,구,material
苟,구차할,구,material
區(区),지경,구,material;textbook
驅(驱),몰,구,material
九,아홉,구,material;textbook
究,연구할,구,material
具,갖출,구,material
俱,함께,구,material
求,구할,구,material;textbook
救,구원할,구,material
球,공,구,material
龜(龟),땅이름,구,material
久,오랠,구,material;textbook
丘,언덕,구,material;textbook
舊(旧),예,구,material
懼(惧),두려워할,구,material
構(构),얽을,구,material
國(国),나라,국,material;textbook
局,판,국,material;textbook
菊,국화,국,material
軍(军),군사,군,material
君,임금,군,material;textbook
郡,고을,군,material
羣(群),무리,군,material
屈,굽힐,굴,material
弓,활,궁,material
宮(宫),집,궁,material
窮(穷),다할,궁,material
券,문서,권,material;textbook
卷,책,권,material;textbook
拳,주먹,권,material
權(权),권세,권,material;textbook
勸(劝),권할,권,material
厥,그,궐,material
軌(轨),바큇자국,궤,material
鬼,귀신,귀,material
貴(贵),귀할,귀,material;textbook
歸(归),돌아갈,귀,material;textbook
規(规),법,규,material
叫,부르짖을,규,material;textbook
糾(纠),얽힐,규,material
均,고를,균,material
菌,버섯,균,material
克,이길,극,material;textbook
極(极),다할,극,material;textbook
劇(剧),연극,극,material
斤,도끼,근,material
近,가까울,근,material
勤,부지런할,근,material
僅(仅),겨우,근,material
謹(谨),삼갈,근,material
根,뿌리,근,material;textbook
金,쇠,금,material;textbook
錦(锦),비단,금,material
今,이제,금,material
琴,거문고,금,material
禁,금할,금,material
禽,새,금,material
及,미칠,급,material;textbook
級(级),등급,급,material
給(给),줄,급,material;textbook
急,급할,급,material
肯,즐길,긍,material
己,몸,기,material;textbook
記(记),기록할,기,material;textbook
起,일어날,기,material;textbook
忌,꺼릴,기,material;textbook
紀(纪),벼리,기,material;textbook
企,꾀할,기,material
氣(气),기운,기,material;textbook
器,그릇,기,material;textbook
其,그,기,material;textbook
基,터,기,material;textbook
期,기약,기,material;textbook
欺,속일,기,material
旗,기,기,material
幾(几),몇,기,material
機(机),틀,기,material
畿,경기,기,material
飢(饥),주릴,기,material
奇,기이할,기,material
寄,부칠,기,material
騎(骑),말탈,기,material
技,재주,기,material
祈,빌,기,material
旣(既),이미,기,material
豈(岂),어찌,기,material;textbook
棄(弃),버릴,기,material
緊(紧),긴할,긴,material
吉,길할,길,material;textbook
那,어찌,나,material
諾(诺),허락할,낙,material
難(难),어려울,난,material;textbook
暖,따뜻할,난,material
男,사내,남,material;textbook
南,남녘,남,material;textbook
納(纳),들일,납,material
娘,계집,낭,material
內(内),안,내,material;textbook
乃,이에,내,material
奈,어찌,내,material
耐,견딜,내,material
女,계집,녀,material;textbook
年,해,년,material
念,생각,념,material
寧(宁),편안,녕,material
奴,종,노,material
努,힘쓸,노,material
怒,성낼,노,material
農(农),농사,농,material
腦(脑),골,뇌,material
惱(恼),번뇌할,뇌,material
能,능할,능,material;textbook
泥,진흙,니,material
多,많을,다,material;textbook
茶,차,다,material;textbook
短,짧을,단,material;textbook
丹,붉을,단,material
旦,아침,단,material;textbook
但,다만,단,material;textbook
壇(坛),단,단,material
檀,박달나무,단,material
單(单),홑,단,material
段,층계,단,material
斷(断),끊을,단,material
端,끝,단,material;textbook
團(团),모일,단,material;textbook
達(达),통달할,달,material
談(谈),말씀,담,material;textbook
淡,맑을,담,material
擔(担),멜,담,material
答,대답,답,material;textbook
畓,논,답,material
踏,밟을,답,material
堂,집,당,material
當(当),마땅,당,material;textbook
黨(党),무리,당,material;textbook
唐,당나라,당,material
糖,엿,당,material
大,큰,대,material;textbook
帶(带),띠,대,material
代,대신,대,material
貸(贷),빌릴,대,material
待,기다릴,대,material;textbook
對(对),대할,대,material;textbook
隊(队),무리,대,material;textbook
臺(台),대,대,material;textbook
德,덕,덕,material;textbook
刀,칼,도,material;textbook
到,이를,도,material;textbook
倒,넘어질,도,material;textbook
圖(图),그림,도,material;textbook
道,길,도,material;textbook
導(导),이끌,도,material;textbook
途,길,도,material
塗(涂),진흙,도,material
逃,도망할,도,material
挑,휠,도,material
桃,복숭아,도,material
跳,뛸,도,material
島(岛),섬,도,material;textbook
度,법도,도,material;textbook
渡,건널,도,material
徒,무리,도,material
都,도읍,도,material
陶,질그릇,도,material
盜(盗),도둑,도,material
稻,벼,도,material
獨(独),홀로,독,material;textbook
讀(读),읽을,독,material;textbook
督,감독할,독,material
毒,독,독,material
篤(笃),도타울,독,material
敦,도타울,돈,material
豚,돼지,돈,material
突,갑자기,돌,material
同,같을,동,material;textbook
洞,골,동,material;textbook
銅(铜),구리,동,material
東(东),동녘,동,material;textbook
凍(冻),얼,동,material
冬,겨울,동,material;textbook
童,아이,동,material
動(动),움직일,동,material;textbook
鬥(斗),말,두,material
豆,콩,두,material;textbook
頭(头),머리,두,material
屯,진칠,둔,material
鈍(钝),무딜,둔,material
得,얻을,득,material;textbook
等,무리,등,material;textbook
登,오를,등,material;textbook
燈(灯),등불,등,material
騰(腾),오를,등,material
羅(罗),벌릴,라,material
絡(络),이을,락,material
落,떨어질,락,material
樂(乐),즐길,락,material;textbook
卵,알,란,material
蘭(兰),난초,란,material
欄(栏),난간,란,material
亂(乱),어지러울,란,material
覽(览),볼,람,material
濫(滥),넘칠,람,material
浪,물결,랑,material
郞,사내,랑,material
廊,행랑,랑,material
來(来),올,래,material;textbook
冷,찰,랭,material
掠,노략질할,략,material
略,간략할,략,material
兩(两),두,량,material;textbook
良,좋을,량,material
量,헤아릴,량,material;textbook
糧(粮),곡식,량,material
涼(凉),서늘할,량,material
諒(谅),믿을,량,material
梁,들보,량,material
旅,나그네,려,material
慮(虑),생각,려,material
麗(丽),고울,려,material
勵(励),힘쓸,려,material
力,힘,력,material;textbook
歷(历),지날,력,material;textbook
曆(历),책력,력,material
練(练),익힐,련,material;textbook
鍊(炼),단련할,련,material
連(连),이을,련,material;textbook
蓮(莲),연꽃,련,material
戀(恋),그리워할,련,material
憐(怜),불쌍할,련,material
聯(联),잇닿을,련,material
列,벌일,렬,material;textbook
烈,매울,렬,material
裂,찢을,렬,material
劣,못날,렬,material
廉,청렴할,렴,material
獵(猎),사냥,렵,material
令,하여금,령,material
領(领),거느릴,령,material
嶺(岭),고개,령,material
零,떨어질,령,material
靈(灵),신령,령,material
例,법식,례,material
禮(礼),예도,례,material;textbook
隷,종,례,material
老,늙을,로,material
勞(劳),일할,로,material
路,길,로,material;textbook
露,이슬,로,material;textbook
爐(炉),화로,로,material
鹿,사슴,록,material
綠(绿),푸를,록,material
錄(录),기록할,록,material
祿(禄),녹,록,material
論(论),논할,론,material
弄,희롱할,롱,material;textbook
賴(赖),의뢰할,뢰,material
雷,우레,뢰,material
了,마칠,료,material;textbook
料,헤아릴,료,material;textbook
僚,동료,료,material
龍(龙),용,룡,material
淚(泪),눈물,루,material
漏,샐,루,material
累,쌓을,루,material
屢(屡),여러,루,material
樓(楼),다락,루,material
流,흐를,류,material;textbook
柳,버들,류,material
留,머무를,류,material;textbook
類(类),무리,류,material;textbook
六,여섯,륙,material;textbook
陸(陆),뭍,륙,material
倫(伦),인륜,륜,material
輪(轮),바퀴,륜,material
律,법칙,률,material
慄(栗),밤,률,material
率,비율,률,material
隆,높을,륭,material;textbook
陵,언덕,릉,material;textbook
裏(里),마을,리,material;textbook
理,이치,리,material;textbook
利,이로울,리,material;textbook
梨,배나무,리,material
李,오얏,리,material
吏,벼슬아치,리,material
離(离),떠날,리,material
履,밟을,리,material
隣,이웃,린,material
林,수풀,림,material;textbook
臨(临),임할,림,material
立,설,립,material;textbook
馬(马),말,마,material;textbook
麻,삼,마,material
磨,갈,마,material
莫,없을,막,material;textbook
漠,넓을,막,material
幕,장막,막,material;textbook
萬(万),일만,만,material
滿(满),찰,만,material;textbook
漫,넓을,만,material
慢,게으를,만,material
晩,늦을,만,material;textbook
末,끝,말,material;textbook
亡,망할,망,material
忙,바쁠,망,material
忘,잊을,망,material
妄,망령될,망,material
茫,아득할,망,material
望,바랄,망,material;textbook
罔,없을,망,material
每,매양,매,material;textbook
梅,매화,매,material
妹,누이,매,material;textbook
媒,중매,매,material
埋,묻을,매,material
買(买),살,매,material
賣(卖),팔,매,material
麥(麦),보리,맥,material
脈(脉),줄기,맥,material
孟,맏,맹,material
猛,사나울,맹,material
盟,맹세,맹,material;textbook
盲,눈멀,맹,material
眠,잠잘,면,material
面,낯,면,material;textbook
免,면할,면,material
勉,힘쓸,면,material
綿(绵),솜,면,material
滅(灭),꺼질,멸,material
名,이름,명,material;textbook
銘(铭),새길,명,material;textbook
命,목숨,명,material;textbook
明,밝을,명,material;textbook
冥,어두울,명,material
鳴(鸣),울,명,material;textbook
母,어미,모,material;textbook
侮,업신여길,모,material
冒,무릅쓸,모,material
毛,털,모,material
貌,모양,모,material
某,아무,모,material
謀(谋),꾀할,모,material
暮,저물,모,material;textbook
募,뽑을,모,material
慕,그리워할,모,material
模,본뜰,모,material
木,나무,목,material;textbook
目,눈,목,material;textbook
睦,화목할,목,material
牧,칠,목,material
沒(没),빠질,몰,material;textbook
夢(梦),꿈,몽,material
蒙,어릴,몽,material
卯,토끼,묘,material;textbook
苗,싹,묘,material
妙,묘할,묘,material;textbook
墓,무덤,묘,material
廟(庙),사당,묘,material
無(无),없을,무,material;textbook
舞,춤출,무,material
霧(雾),안개,무,material
武,호반,무,material;textbook
戊,천간,무,material
茂,무성할,무,material
務(务),힘쓸,무,material
貿(贸),무역할,무,material
墨,먹,묵,material
默,잠잠할,묵,material
門(门),문,문,material;textbook
問(问),물을,문,material;textbook
聞(闻),들을,문,material
文,글월,문,material;textbook
勿,말,물,material;textbook
物,물건,물,material
米,쌀,미,material
迷,미혹할,미,material
未,아닐,미,material;textbook
味,맛,미,material;textbook
美,아름다울,미,material;textbook
眉,눈썹,미,material
尾,꼬리,미,material
微,작을,미,material
民,백성,민,material;textbook
敏,민첩할,민,material
